State,City,Neighborhood,total population,number of males,number of females,number of people under 5,number of people aged 5-9,number of people aged 10-14,number of people aged 15-19,number of people aged 20-24,number of people aged 25-34,number of people aged 35-44,number of people aged 45-54,number of people aged 55-59,number of people aged 60-64,number of people aged 65-74,number of people aged 75-84,number of people aged over 85,median aged,number of white people,number of black people,number of native american people,number of asain people(including indian and chinese),number of indian people,number of chinese people,number of pacific islander,number of employeed people 16 and over,number of commuters who drive to work,number of commuter who carpool to work,number of commuter who took public transport to work,number of commuters who walk to work,number of commuters who work from home,people with health insurance,mean commute time to work,num of home owners,number of homes,number of houses built 2020 or more recent,Number of houses built 2010 to 2019,number of houses built 2000 to 2009,number of houses built 1990 to 1999,number of houses built 1980 to 1989,number of houses built 1970 to 1979,number of houses built 1960 to 1969,number of houses built 1950 to 1959,number of houses built 1940 to 1949,number of house built 1939 or before,number of people 25 years or older who have high school degree,number of poeple 25 years or older who have an associates degree,number of people 25 years or older who have a bachelors degree,number of people 25 years or older who have a grad or professional degree,median household yearly income,median montly housing costs,number of people born in the US,number of people born outside the US,number of naturalized citizens,number of non-citizens,number of people with a disability
Florida,Jacksonville,Jacksonville North Estate,68996.0,33248.0,35748.0,4745.0,4766.0,5707.0,4967.0,3782.0,9951.0,8740.0,9326.0,4680.0,3727.0,5281.0,2560.0,764.0,35.6,26968.0,33669.0,116.0,1382.0,298.0,37.0,17.0,34167.0,24511.0,2660.0,391.0,297.0,3040.0,59476.0,23.9,24313.0,26939.0,402.0,4338.0,8386.0,3449.0,3207.0,2108.0,2726.0,1791.0,283.0,249.0,13711.0,4736.0,7659.0,3761.0,64298.0,1329.0,63506.0,3463.0,2419.0,1044.0,8806.0
Florida,Jacksonville,Jacksonville University,25545.0,12009.0,13536.0,1613.0,1687.0,1732.5,2095.5,1980.0,4030.5,3117.0,2444.5,1612.0,1855.5,2087.5,909.0,381.0,34.75,10537.0,12546.0,60.0,404.5,24.0,20.5,2.0,12798.5,7591.5,1850.5,307.5,224.5,1115.5,21906.0,23.05,9909.5,11614.0,9.0,463.5,1249.0,1195.5,1426.0,2096.5,1590.0,1050.5,559.5,1974.5,5577.5,1320.5,2466.5,1145.5,44622.0,1007.5,22553.0,2726.5,1543.5,1183.0,3967.0
Florida,Jacksonville,Jamestown,43944.0,21545.5,22398.5,3230.0,2897.0,3358.0,3126.5,2243.0,5891.5,5934.5,5879.0,3271.0,2598.5,3396.0,1647.5,471.5,38.3,20053.5,18545.5,99.0,1056.5,220.5,96.5,15.0,21587.0,15641.5,1693.0,196.0,195.0,2003.0,38244.5,26.75,15465.5,17101.0,305.5,2877.5,5450.5,2241.5,2024.5,1376.0,1477.0,969.0,223.5,156.0,8668.5,3076.5,5170.5,2643.5,80961.5,1503.0,40327.0,2292.5,1610.0,682.5,5572.5
Florida,Jacksonville,Julington Creek,25604.0,12607.0,12997.0,1183.0,1535.0,1282.0,1309.0,1128.0,2913.0,2430.0,3439.0,2215.0,2044.0,3769.0,1282.0,1075.0,48.5,20421.0,1527.0,62.0,792.0,33.0,46.0,0.0,12815.0,9128.0,949.0,63.0,106.0,1900.0,23390.0,27.0,10348.0,10673.0,60.0,391.0,815.0,2700.0,4542.0,1523.0,387.0,159.0,41.0,55.0,4167.0,2081.0,4773.0,3102.0,90833.0,1467.0,22676.0,2562.0,1961.0,601.0,2618.0
Florida,Jacksonville,Kennel Club,25200.0,12069.5,13130.5,2037.5,1836.5,1684.0,1929.0,1485.0,3471.0,3282.0,2419.5,1421.0,1628.5,2474.0,1084.5,447.5,34.95,3385.0,20447.5,51.5,133.0,22.5,10.0,0.0,10138.0,6628.5,732.0,645.0,231.5,295.0,21513.0,26.3,9878.5,12019.0,21.5,278.0,764.5,609.5,448.5,1248.0,2989.5,2854.5,1373.5,1431.5,6610.5,1112.0,1130.0,395.0,31914.5,818.0,24345.5,754.5,407.5,347.0,4742.5
Florida,Jacksonville,Kilarney Shores,41010.0,19662.0,21348.0,2470.0,1941.0,2756.0,2079.0,2323.0,7203.0,5645.0,4463.0,2270.0,2949.0,3428.0,2336.0,1147.0,37.9,23687.0,8516.0,13.0,3245.0,1639.0,55.0,87.0,21449.0,14848.0,1963.0,164.0,93.0,2625.0,33810.0,22.0,17684.0,19510.0,80.0,1757.0,4723.0,1296.0,3204.0,2915.0,2209.0,2935.0,337.0,54.0,8789.0,2574.0,6426.0,2945.0,61536.0,1191.0,31326.0,8255.0,3614.0,4641.0,4159.0
Florida,Jacksonville,Lackawanna,19556.666666666700,9362.0,10194.666666666700,1505.3333333333300,1330.3333333333300,1153.3333333333300,1375.0,1178.6666666666700,3082.3333333333300,2516.3333333333300,1839.0,1164.0,1163.6666666666700,1913.3333333333300,897.0,438.3333333333330,35.800000000000000,3895.6666666666700,14390.666666666700,56.0,206.0,27.666666666666700,53.333333333333300,0.0,8477.666666666670,5470.666666666670,630.6666666666670,451.0,233.0,407.0,16546.0,23.96666666666670,8038.666666666670,9724.0,59.0,422.6666666666670,603.6666666666670,462.0,355.6666666666670,1005.3333333333300,2079.6666666666700,2042.3333333333300,1057.0,1636.6666666666700,4826.0,950.3333333333330,1412.3333333333300,598.6666666666670,41812.666666666700,950.0,18579.666666666700,730.6666666666670,379.6666666666670,351.0,3460.6666666666700
Florida,Jacksonville,Lake Forest,31368.0,14078.0,17290.0,1077.0,2210.0,2711.0,2062.0,1417.0,3651.0,3462.0,3857.0,2065.0,2057.0,4363.0,1913.0,523.0,41.7,5646.0,24063.0,101.0,102.0,54.0,0.0,0.0,13469.0,9067.0,1198.0,518.0,170.0,1016.0,27286.0,25.2,13531.0,15415.0,100.0,330.0,1434.0,465.0,732.0,1970.0,2810.0,4194.0,2196.0,1184.0,7665.0,1769.0,1791.0,1132.0,39511.0,949.0,30448.0,699.0,517.0,182.0,6086.0
Florida,Jacksonville,Lake Forest Hills,33715.0,15453.0,18262.0,2082.0,2422.5,2411.5,2360.5,1750.5,4285.0,4103.0,3503.5,1932.5,2243.5,4077.0,1864.0,679.5,39.1,4017.5,28221.0,78.5,159.0,49.5,0.0,0.0,13767.5,8980.0,1069.5,830.0,231.5,723.0,29239.0,25.6,14011.5,16624.5,69.0,352.5,1383.0,725.0,629.0,1899.0,4044.0,4181.0,1789.0,1553.0,8601.5,1709.0,1749.5,906.5,34022.5,883.0,32730.0,849.0,543.0,306.0,6558.0
Florida,Jacksonville,Lake Lucina,35371.5,16818.5,18553.0,2393.0,2559.5,2412.0,2491.0,2746.0,5824.0,4450.5,3640.0,2083.5,2242.0,2806.0,1149.5,574.5,33.4,17709.5,12691.0,97.5,953.0,87.0,47.5,2.0,18148.0,11511.5,2441.5,313.5,244.0,1434.0,29816.5,24.35,13162.5,14500.0,110.0,814.5,966.5,1391.5,1602.5,2932.5,3096.0,3244.5,232.0,110.0,7952.0,2014.0,3456.5,1388.5,53994.5,1127.0,30371.0,4578.5,2554.5,2024.0,5269.5
