State,City,Neighborhood,total population,prop males,prop females,prop of people under 5,prop of people aged 5-9,prop of people aged 10-14,prop of people aged 15-19,prop of people aged 20-24,prop of people aged 25-34,prop of people aged 35-44,prop of people aged 45-54,prop of people aged 55-59,prop of people aged 60-64,prop of people aged 65-74,prop of people aged 75-84,prop of people aged over 85,median aged,prop of white people,prop of black people,prop of native american people,prop of asian people(including indian and chinese),prop of pacific islander,prop of employeed people 16 and over,prop of commuters who drive to work,prop of commuter who carpool to work,prop of commuter who took public transport to work,prop of commuters who walk to work,prop of commuters who work from home,prop with health insurance ,mean commute time to work,num of home owners,number of homes,number of houses built 2020 or more recent,Number of houses built 2010 to 2019,number of houses built 2000 to 2009,number of houses built 1990 to 1999,number of houses built 1980 to 1989,number of houses built 1970 to 1979,number of houses built 1960 to 1969,number of houses built 1950 to 1959,number of houses built 1940 to 1949,number of house built 1939 or before,prop of people 25 years or older who have high school degree,prop of poeple 25 years or older who have an associates degree,prop of people 25 years or older who have a bachelors degree,prop of people 25 years or older who have a grad or professional degree,median household yearly income,median montly housing costs,prop of people born in the US,prop of people born outside the US,prop of naturalized citizens,prop of non-citizens,prop of people with a disability
Tennessee,Nashville,Inglewood-Riverwood,30545.0,0.495547553,0.504452447,0.066557538,0.060566377,0.052627271,0.043525945,0.060991979,0.199034212,0.141676215,0.114061221,0.056932395,0.065837289,0.086953675,0.037600262,0.01363562,35.9,0.606903887,0.362115645,0.002842777,0.028137691,0,0.701790098,0.736702292,0.096373633,0.024155186,0.012973374,0.129795515,0.835848748,25.25,13275.5,14344.5,104,950,1107.5,1415.5,1863,1960,2189,2823,1045,887.5,0.40963691,0.092410592,0.332616708,0.16533579,65003.0,1334.0,0.81051219,0.094743905,0.02349959,0.071244315,0.11962678
Tennessee,Nashville,Jones-Buena Vista,11353.0,0.4438034,0.5561966,0.048357262,0.02342993,0.033207082,0.117105611,0.11093984,0.291156523,0.09799172,0.095305206,0.031005021,0.044569717,0.07707214,0.018805602,0.011054347,29.6,0.356150473,0.63014078,0.001615509,0.009877683,0.002215555,0.681625824,0.650395992,0.096088573,0.071359302,0.04153871,0.140617424,0.881661235,23,5081,5831,132.5,1802,732,361,385,279,404.5,533,257,945,0.27756037,0.036174477,0.408895676,0.277369476,62490.0,1320.5,0.950610888,0.024694556,0.009843285,0.014851271,0.15092927
Tennessee,Nashville,Linton South Harpeth,53387.0,0.48170903,0.51829097,0.057073819,0.057298593,0.074587446,0.057111282,0.058150861,0.116582689,0.138095416,0.143115365,0.072143031,0.064931538,0.091567235,0.0506584,0.018684324,40.6,0.885457194,0.074739131,0.000728238,0.039075437,0,0.677082612,0.728851379,0.057152112,0.002465315,0.003365065,0.20816613,0.938430704,26.25,20993,22194,299.5,4032.5,3775.5,4712,3596,3348,1173.5,429.5,328,499.5,0.186185571,0.079818222,0.456204193,0.277792015,105741.0,1653.5,0.839630062,0.080184969,0.03909417,0.041090799,0.0875775
Tennessee,Nashville,Lockeland Springs,29389.0,0.503555752,0.496444248,0.073598966,0.067576304,0.048861819,0.046479976,0.041137841,0.275545272,0.177073055,0.114192385,0.048215319,0.031678519,0.041478104,0.028752254,0.005410187,33.3,0.684611754,0.292627146,0.001161651,0.019385051,0.002214397,0.782389514,0.640567092,0.057826931,0.023707277,0.02364845,0.25425025,0.897342543,22.5,12862,13913,364,3036,956,619,632,926,1202,1794,1411,2973,0.211657003,0.050717119,0.446078731,0.291547147,80915.0,1628.0,0.907154915,0.046422543,0.022010129,0.024412414,0.106468407
Tennessee,Nashville,Marrowbone,11366.0,0.489706141,0.510293859,0.054878585,0.050831427,0.065304417,0.05899173,0.036908323,0.125021995,0.138857118,0.132632412,0.076566074,0.075972198,0.117631533,0.053646841,0.012757346,43.35,0.678997585,0.31537614,0,0.005626275,0,0.590755923,0.776980583,0.104360042,0.005318348,0.005970599,0.107370428,0.877001584,30.45,4471.75,4883.25,80,445,604.5,761.5,770.25,910.25,578.25,338.25,199.5,195.75,0.554737359,0.094702548,0.221136252,0.129423841,73069.75,1175.75,0.934750717,0.032624641,0.014363601,0.018261041,0.168177019
Tennessee,Nashville,McFerrin Park,34766.5,0.487135605,0.512864395,0.076481671,0.064458602,0.064300404,0.049012699,0.051788359,0.218126645,0.156918298,0.111385961,0.064300404,0.049142134,0.056160384,0.030000144,0.007924295,34.05,0.484579885,0.499220242,0.001082113,0.013239975,0.001877785,0.741359343,0.68543011,0.099488027,0.02730521,0.019652285,0.168124367,0.877683977,23.55,14448,15762,510,2501.5,1329,1300.5,1001,1810,2161.5,1850.5,1149,2149,0.326591739,0.090312643,0.371063441,0.212032177,70444.0,1403.0,0.87485328,0.06257336,0.023933838,0.038639522,0.134238419
Tennessee,Nashville,McKissack Park,38126.0,0.474453129,0.525546871,0.065991712,0.029743482,0.030766406,0.028091066,0.098069559,0.3132508,0.158159786,0.094502439,0.045769291,0.033913865,0.066096627,0.023999371,0.011645596,32.2,0.731805093,0.203771667,0.002512563,0.060753204,0.001157473,0.756838723,0.700293705,0.044906994,0.024134849,0.018899247,0.211765207,0.864737974,22,18570,20225,692,5097,2673,1764,1733,1602,2455,1571,972,1666,0.22200157,0.066041657,0.394448806,0.317507967,68898.0,1565.0,0.835871655,0.082064173,0.031445611,0.050618562,0.09670566
Tennessee,Nashville,McMurray-Huntingdon,74389.0,0.509524258,0.490475742,0.080845286,0.058126874,0.050518222,0.049012623,0.074876662,0.232574709,0.135140948,0.108107381,0.055855032,0.043743027,0.071179879,0.030125422,0.009893936,32.8,0.746144934,0.186218038,0.000897476,0.065417816,0.001321737,0.716882557,0.716262368,0.122620662,0.006930842,0.008136206,0.146049922,0.791474546,25.7,30135,33221,118,1936,5115,3770,5125,6656,5488,3557,925,531,0.32157551,0.071899186,0.398567195,0.207958109,64856.0,1328.0,0.5947721,0.20261395,0.059459696,0.143154254,0.100323973
Tennessee,Nashville,Melrose,18346.666666666700,0.481231831,0.518768169,0.03424782,0.033357558,0.031304506,0.03528343,0.13190407,0.336518895,0.140406977,0.085337936,0.056322674,0.045857558,0.049909157,0.014098837,0.005450581,30.63333333,0.730494942,0.202918492,0.000910817,0.065675749,0,0.759133801,0.6464753,0.040249708,0.013255038,0.080214361,0.219805593,0.914098837,17.63333333,10201,12729.66667,479.6666667,6286.333333,1889.333333,347.6666667,558.3333333,563.3333333,928.3333333,536,335.3333333,805.3333333,0.107619796,0.047446976,0.485530244,0.359402985,77551.66666666670,1784.6666666666700,0.827413707,0.086293147,0.032749708,0.053543438,0.101217297
Tennessee,Nashville,Merry Oaks,34923.5,0.484974301,0.515025699,0.056308789,0.051755981,0.051111716,0.049493894,0.055392501,0.191174997,0.150042235,0.123026043,0.074520022,0.055306599,0.079645511,0.046730711,0.015491002,37.5,0.708290494,0.26298408,0.000514067,0.028211359,0,0.705120128,0.739761911,0.073760925,0.01340872,0.0041497,0.168918744,0.895213825,27.35,15805.5,17005.5,218,1515,2971.5,2553.5,3599,1677,2147,1936,183.5,205,0.322754066,0.104928501,0.409016483,0.16330095,70238.0,1335.0,0.837701253,0.081149374,0.038960695,0.042188678,0.146591836
Tennessee,Nashville,Nashboro Village,30450.0,0.508144499,0.491855501,0.06591133,0.060295567,0.062627258,0.057471264,0.072151067,0.191855501,0.158916256,0.108243021,0.066896552,0.055665025,0.06545156,0.028735632,0.005779967,34.3,0.58573146,0.39676159,0.000187843,0.017056127,0.00026298,0.736396761,0.714777879,0.133998187,0.017104866,0.009972801,0.124146268,0.791067323,27.7,12468,13982,50,343,1384,1341,3382,3819,2259,1108,164,132,0.410357707,0.125484844,0.318273237,0.145884212,57084.0,1246.0,0.598622828,0.200688586,0.054088149,0.146600436,0.105320197
Tennessee,Nashville,Neelys Bend,41926.0,0.492272098,0.507727902,0.061584697,0.063731336,0.06656967,0.053594428,0.071363832,0.153270047,0.135929972,0.120998903,0.060201307,0.070338215,0.092281639,0.036802939,0.013333015,37.2,0.527642922,0.448642128,0.003677877,0.020037073,0,0.681060181,0.758835265,0.114573437,0.030875926,0.017290519,0.078424853,0.803010065,26.9,17954,19302,134,680,1849,2530,2947,3343,3394,2807,983,635,0.530289532,0.094042316,0.2422049,0.133463252,55313.0,1155.0,0.767661311,0.116169345,0.02365468,0.092514665,0.121332825
Tennessee,Nashville,Osage-North Fisk,20410.0,0.447378736,0.552621264,0.052425282,0.026065654,0.03610975,0.126016659,0.10377266,0.272905439,0.098530132,0.100489956,0.033806957,0.046496815,0.07466928,0.019010289,0.009701127,30.2,0.357537329,0.630445899,0.001431786,0.009817959,0.000767028,0.661667866,0.635892116,0.109015466,0.078178046,0.045926066,0.130988306,0.880989711,21.5,8670,10100,189,3029,1119,440,724,483,809,1066,502,1739,0.289060821,0.037180314,0.383838384,0.289920481,59050.0,1308.0,0.955861803,0.022069098,0.008914374,0.013154725,0.151788339
Tennessee,Nashville,Pennington Bend,31752.0,0.494960947,0.505039053,0.0531935,0.053980852,0.045288486,0.043682288,0.053130511,0.201845553,0.154383976,0.134479718,0.065602167,0.054957168,0.080624843,0.04462711,0.01420383,37.5,0.715115489,0.240421196,0.00013587,0.044327446,0,0.717959199,0.73125,0.079966518,0.011551339,0.005636161,0.171595982,0.896793903,26.5,14475,15525,174,810,2048,1950,3802,779,1953,3589,183,237,0.333865268,0.088567195,0.430867434,0.146700103,71582.0,1333.0,0.796024151,0.101987924,0.050894281,0.051093643,0.129913076
Tennessee,Nashville,Poplar Creek Estates,43400.0,0.48124424,0.51875576,0.063479263,0.055875576,0.063156682,0.044493088,0.05343318,0.141912442,0.135506912,0.137995392,0.069723502,0.059331797,0.104009217,0.05156682,0.019516129,40,0.87936617,0.086612049,0.000490581,0.033531201,0,0.718875955,0.756412378,0.072480556,0.003392355,0.004840311,0.1628744,0.947281106,26,18787,20087,412,2080,3211,4501,4264,3683,1317,235,151,233,0.174376067,0.085399561,0.428013983,0.312210389,96623.0,1543.0,0.838420717,0.080789641,0.045446827,0.035342815,0.085023041
Tennessee,Nashville,Rachel Jackson,38095.0,0.476650479,0.523349521,0.058905368,0.049901562,0.05596535,0.05433784,0.057277858,0.182281139,0.146423415,0.113479459,0.081953012,0.055597847,0.078829243,0.048484053,0.016563854,37.5,0.702509064,0.282097025,0.000834436,0.014559475,0,0.69426111,0.747153171,0.068372341,0.015021563,0.002858943,0.166593982,0.893896837,28.2,17136,18486,262,2220,3895,3157,3396,2575,2341,283,184,173,0.312545816,0.119960205,0.38894125,0.178552728,68894.0,1337.0,0.873854288,0.063072856,0.02860884,0.034464017,0.160493503
